zipCode,returns,singleReturns,jointReturns,dependents,adjGrossIncome,totalIncome_returns,totalIncome_amount
10001,13720,9920,2330,3170,2094642,13720,2127995
10002,43410,25360,11120,19730,2002349,43410,2033619
10003,29340,22430,5300,4800,6135126,29340,6229147
10004,2580,1530,800,1080,892142,2580,904779
10005,5660,4070,1300,1300,5343796,5660,5371221
10006,2360,1800,430,460,421654,2360,428551
10007,3460,2020,1180,1510,1712816,3460,1733784
10009,32170,22820,5000,9730,2299944,32170,2336842
10010,17270,12740,3440,3370,3424038,17270,3472481
10011,30420,22760,5420,5500,7422443,30420,7536603
10012,12780,9440,2470,2480,2682639,12780,2720880
10013,15060,9160,4540,5730,4872698,15060,4935026
10014,18950,14640,3280,2940,4861288,18950,4930162
10016,30970,23300,5730,5350,8730077,30970,8814856
10017,11870,8120,2850,2710,4079743,11870,4126925
10018,6230,4520,1140,1440,2550416,6230,2573118
10019,24200,17400,4620,5060,6040781,24200,6108825
10021,23860,15450,6750,6330,11744436,23860,11877178
10022,19780,12910,5480,4610,10036729,19780,10328745
10023,33900,22040,9160,9490,10708893,33900,10861855
10024,30820,18800,9440,11170,9152767,30820,9317798
10025,46200,28220,11430,18080,6051861,46200,6184796
10026,17660,10370,2420,10070,993545,17660,1008610
10027,26780,15710,3780,14880,1396419,26780,1417654
10028,25370,16530,7050,7620,8970406,25370,9092931
10029,34300,19180,4830,22430,1714185,34300,1736681
10030,13240,7610,1150,8450,472006,13240,478156
10031,28740,17650,3300,16200,1001265,28740,1014945
10032,31540,19020,3640,19540,1001227,31540,1014325
10033,27110,15820,4430,15620,1067109,27110,1085242
10034,20340,11490,3140,12080,764345,20340,774547
10035,15360,8580,1950,10490,603151,15360,609558
10036,17980,13270,3030,3990,3690222,17980,3729634
10037,10280,6220,860,5280,445291,10280,449823
10038,12300,8240,2620,3900,1426096,12300,1446450
10039,13400,7150,1190,9300,468538,13400,473199
10040,21670,12420,3440,12590,808747,21670,820286
10044,4160,2420,1180,1670,346386,4160,351563
10065,15670,10110,4320,4340,6983851,15670,7060114
10069,2660,1300,1100,1250,1258210,2660,1276318
10075,14330,9420,3930,4140,5843617,14330,5912074
10128,32510,20750,8940,10550,10821609,32510,10972659
10162,700,330,330,400,177246,700,180653
10280,4160,2420,1360,1610,782322,4160,794352
10282,2400,1130,1040,1350,968177,2400,979680
10301,17240,8660,4580,11130,1090169,17240,1103924
10302,7710,3460,2170,6080,362243,7710,365038
10303,11700,5170,2630,9720,492630,11700,495884
10304,18950,8380,5190,14290,1203206,18950,1218307
10305,18720,8750,6770,12000,1092453,18720,1103047
10306,25970,12060,10190,15510,1745314,25970,1763456
10307,6220,2820,2660,4470,527395,6220,533530
10308,13300,6130,5600,7820,935036,13300,943098
10309,14630,6460,6360,9870,1132904,14630,1145489
10310,10990,4990,3300,8520,626031,10990,632212
10312,28440,12710,12320,17530,2146508,28440,2167264
10314,39620,18060,15840,25330,2592527,39620,2619150
10451,22270,10850,2360,18070,647933,22270,652966
10452,35350,16790,3990,31480,867413,35350,875934
10453,37070,17660,3850,32910,876875,37070,885440
10454,15220,6940,1590,14660,364122,15220,367537
10455,17090,7950,1970,15820,430940,17090,434729
10456,38800,17730,3950,36680,916804,38800,925728
10457,31770,14990,3250,29360,757012,31770,764660
10458,33010,16060,4190,28640,857682,33010,866120
10459,20860,9530,2460,19160,537557,20860,542108
10460,24700,11560,2620,21920,630094,24700,635242
10461,23340,11590,5910,14830,1096894,23340,1105759
10462,38370,18850,7430,27240,1482923,38370,1495011
10463,33220,17170,7430,19660,1978706,33220,2003887
10464,2140,1180,650,920,163217,2140,165381
